code,name,location,lat,lon,elev
ADE,Adelaide Oval,"Adelaide, South Australia",-34.91555556,138.5961111,27
BEL,Bellerive Oval,"Hobart, Tasmania",-42.87722222,147.3736111,9
CRR,Carrara Stadium,"Gold Coast, Queensland",-28.00638889,153.3672222,5
DOC,Docklands Stadium,"Melbourne, Victoria",-37.81638889,144.9475,8
EUR,Eureka Stadium,"Ballarat, Victoria",-37.53952778,143.8480278,454
GAB,The Gabba,"Brisbane, Queensland",-27.48583333,153.0380556,-1
KAR,Kardina Park,"Geelong, Victoria",-38.15805556,144.3547222,18
MAN,Manuka Oval,"Canberra, Australian Capital Territory",-35.31805556,149.1347222,570
MAR,Marrara Oval,"Darwin, Northern Territory",-12.39916667,130.8872222,33
MCG,Melbourne Cricket Ground,"Melbourne, Victoria",-37.81993333,144.9834389,9
NOR,Norwood Oval,"Adelaide, South Australia",-34.91972222,138.6305556,57
PER,Perth Stadium,"Perth, Western Australia",-31.95111111,115.8890278,4
SCG,Sydney Cricket Ground,"Sydney, New South Wales",-33.89166667,151.2247222,33
SSS,Sydney Showground Stadium,"Sydney, New South Wales",-33.84305556,151.0677778,11
SUM,Summit Oval,"Mount Barker, South Australia",-35.077991,138.89339,322
TRA,Traeger Park,"Alice Springs, Northern Territory",-23.709039,133.875083,579
YOR,York Park,"Launceston, Tasmania",-41.42583333,147.1388889,3
