ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,NE,NOLA,2,1,0,0,5,4,1,0,1
2,HOU,HOU,2,2,0,0,5,5,0,0,1
3,ATL,ATL,1,1,3,0,4,3,1,0,1
4,NY,NOLA,4,4,1,0,1,0,0,0,1
5,UTAH,NOLA,6,2,1,0,2,2,0,0,1
6,OGDC,OGDC,2,2,2,0,1,0,4,0,1
7,SEA,NOLA,5,5,0,0,5,4,1,0,1
9,ATL,NOLA,1,1,0,0,2,2,3,0,1
10,CHI,CHI,4,4,3,0,4,2,0,0,1
11,TOR,NOLA,6,5,0,0,3,3,1,0,1
12,NY,NY,3,2,0,0,8,7,0,0,1
13,SD,NOLA,2,1,0,0,4,3,0,0,1
14,NE,NE,0,0,1,0,8,5,0,0,1
16,OGDC,NOLA,2,1,1,0,5,0,1,0,1
17,DAL,DAL,2,1,1,0,1,1,1,0,1
18,TOR,TOR,4,3,0,0,3,3,1,0,1
