code,name,stadium,r1,g1,b1,r2,g2,b2
RSA,South Africa,RUG,0,100,0,255,203,5
NAM,Namibia,RUG,18,10,127,255,255,255
JPN,Japan,RUG,255,255,255,204,0,0
FRA,France,RUG,0,59,124,255,255,255
ENG,England,RUG,255,255,255,229,46,51
IRE,Ireland,RUG,0,132,92,255,255,255
ITA,Italy,RUG,0,82,177,255,255,255
SCO,Scotland,RUG,0,0,128,255,255,255
WAL,Wales,RUG,238,41,34,255,255,255
GEO,Georgia,RUG,85,24,40,255,255,255
ROM,Romania,RUG,247,214,0,3,75,164
POR,Portugal,RUG,255,0,0,0,102,0
AUS,Australia,RUG,255,187,0,0,64,68
FIJ,Fiji,RUG,255,255,255,0,0,0
NZL,New Zealand,RUG,0,0,0,255,255,255
SAM,Samoa,RUG,14,31,124,255,255,255
TGA,Tonga,RUG,237,28,36,255,255,255
ARG,Argentina,RUG,74,177,236,255,255,255
URU,Uruguay,RUG,34,189,246,0,0,0
CHI,Chile,RUG,255,33,33,0,0,255
